Model,LR Mean,LR Std,SVC Mean,SVC Std
TF-IDF,0.95903125,0.0005989356879777299,0.9620000000000001,0.0006882886890284346
TF-IDF + NMF,0.9586875000000001,0.0006713701268467496,0.9618541666666667,0.0006779641706363634
